mapX,mapY,pixelX,pixelY,enable,dX,dY,residual
1986826.38152731559239328,782217.70560129394289106,1986824.84303698036819696,782214.16750217915978283,1,4.83484822468244602,2.80597033234289484,5.59010079173027918
1987249.59296208363957703,782172.76279406191315502,1987285.3313968104775995,782189.97508026636205614,1,-6.84278996275497775,4.70436758598452798,8.3039056388209378
1987566.68943533184938133,782311.33644969400484115,1987600.91821800777688622,782341.28368897992186248,1,-7.34684394088981207,5.53287822825927833,9.19722008981707795
1987211.410019462229684,783342.58910114225000143,1987207.50523921567946672,783338.57832304062321782,1,1.31673058933756693,0.41932012202801161,1.38188596115411877
1986644.39243052946403623,783476.75953254837077111,1986631.58954816404730082,783408.96022649528458714,1,4.45980230841996672,-12.77234027050508303,13.52858132310087846
1986302.28167509776540101,784092.11435523454565555,1986294.1516422345302999,784041.62466815323568881,1,1.64301458956697388,-3.29283740873506758,3.67998303554445849
1987314.42199388658627868,784039.00354390381835401,1987317.03154334588907659,784047.72470157395582646,1,-3.02759985184366087,4.1893861774119614,5.16887970515605666
1986619.42909132991917431,783970.71821504994295537,1986592.55835193279199302,783948.36837818019557744,1,7.12108981797678098,1.76644907578543098,7.33691096668317133
1985972.08268061000853777,784844.1231694637099281,1986004.70010518631897867,784826.0159014918608591,1,-12.4110516383027516,10.76721458077963689,16.43067596288025456
1986827.74505990860052407,783895.1750827293144539,1986839.23884729295969009,783839.35376300453208387,1,-4.43710520090689897,-10.43009246355927644,11.3346694421280354
1986615.36311282496899366,783917.95244206592906266,1986591.17115060775540769,783899.73111617192625999,1,6.4962281911455193,2.96535274054576803,7.14102916863501402
1986229.75542751280590892,783853.5649682191433385,1986225.37456234311684966,783798.15747487405315042,1,1.40396956764834613,-4.37763434574026178,4.59726146873195063
1986810.06419061427004635,784663.82038084091618657,1986792.78666104516014457,784650.44031164376065135,1,1.72606930051324525,3.53005246492375591,3.92945106029946212
1987634.47416863148100674,783345.51881354534998536,1987615.71733157173730433,783334.83210112794768065,1,5.06363800540793818,-5.80808681951498329,7.70547223425244443
